hospital_id,date,total_admissions
HHN-BIR-01,2024-01-01,20
HHN-BIR-01,2024-01-02,35
HHN-BIR-01,2024-01-03,29
HHN-BIR-01,2024-01-04,35
HHN-BIR-01,2024-01-05,41
HHN-BIR-01,2024-01-06,35
HHN-BIR-01,2024-01-07,20
HHN-BIR-01,2024-01-08,46
HHN-BIR-01,2024-01-09,27
HHN-BIR-01,2024-01-10,34
HHN-BIR-01,2024-01-11,25
HHN-BIR-01,2024-01-12,40
HHN-BIR-01,2024-01-13,18
HHN-BIR-01,2024-01-14,43
HHN-BIR-01,2024-01-15,39
HHN-BIR-01,2024-01-16,37
HHN-BIR-01,2024-01-17,46
HHN-BIR-01,2024-01-18,47
HHN-BIR-01,2024-01-19,35
HHN-BIR-01,2024-01-20,25
HHN-BIR-01,2024-01-21,51
HHN-BIR-01,2024-01-22,37
HHN-BIR-01,2024-01-23,44
HHN-BIR-01,2024-01-24,32
HHN-BIR-01,2024-01-25,31
HHN-BIR-01,2024-01-26,34
HHN-BIR-01,2024-01-27,24
HHN-BIR-01,2024-01-28,33
HHN-BIR-01,2024-01-29,32
HHN-BIR-01,2024-01-30,55
HHN-BIR-01,2024-01-31,44
HHN-BIR-01,2024-02-01,24
HHN-BIR-01,2024-02-02,30
HHN-BIR-01,2024-02-03,52
HHN-BIR-01,2024-02-04,31
HHN-BIR-01,2024-02-05,28
HHN-BIR-01,2024-02-06,31
HHN-BIR-01,2024-02-07,42
HHN-BIR-01,2024-02-08,37
HHN-BIR-01,2024-02-09,33
HHN-BIR-01,2024-02-10,48
HHN-BIR-01,2024-02-11,43
HHN-BIR-01,2024-02-12,46
HHN-BIR-01,2024-02-13,33
HHN-BIR-01,2024-02-14,44
HHN-BIR-01,2024-02-15,47
HHN-BIR-01,2024-02-16,25
HHN-BIR-01,2024-02-17,38
HHN-BIR-01,2024-02-18,40
HHN-BIR-01,2024-02-19,23
HHN-BIR-01,2024-02-20,39
HHN-BIR-01,2024-02-21,40
HHN-BIR-01,2024-02-22,30
HHN-BIR-01,2024-02-23,31
HHN-BIR-01,2024-02-24,20
HHN-BIR-01,2024-02-25,27
HHN-BIR-01,2024-02-26,36
HHN-BIR-01,2024-02-27,30
HHN-BIR-01,2024-02-28,45
HHN-BIR-01,2024-02-29,50
HHN-BIR-01,2024-03-01,35
HHN-BIR-01,2024-03-02,28
HHN-BIR-01,2024-03-03,13
HHN-BIR-01,2024-03-04,22
HHN-BIR-01,2024-03-05,21
HHN-BIR-01,2024-03-06,52
HHN-BIR-01,2024-03-07,35
HHN-BIR-01,2024-03-08,34
HHN-BIR-01,2024-03-09,16
HHN-BIR-01,2024-03-10,27
HHN-BIR-01,2024-03-11,46
HHN-BIR-01,2024-03-12,33
HHN-BIR-01,2024-03-13,32
HHN-BIR-01,2024-03-14,35
HHN-BIR-01,2024-03-15,25
HHN-BIR-01,2024-03-16,35
HHN-BIR-01,2024-03-17,27
HHN-BIR-01,2024-03-18,20
HHN-BIR-01,2024-03-19,19
HHN-BIR-01,2024-03-20,36
HHN-BIR-01,2024-03-21,51
HHN-BIR-01,2024-03-22,25
HHN-BIR-01,2024-03-23,32
HHN-BIR-01,2024-03-24,23
HHN-BIR-01,2024-03-25,32
HHN-BIR-01,2024-03-26,40
HHN-BIR-01,2024-03-27,34
HHN-BIR-01,2024-03-28,42
HHN-BIR-01,2024-03-29,20
HHN-BIR-01,2024-03-30,14
HHN-BIR-01,2024-03-31,32
HHN-BIR-01,2024-04-01,33
HHN-BIR-01,2024-04-02,34
HHN-BIR-01,2024-04-03,30
HHN-BIR-01,2024-04-04,32
HHN-BIR-01,2024-04-05,44
HHN-BIR-01,2024-04-06,50
HHN-BIR-01,2024-04-07,23
HHN-BIR-01,2024-04-08,46
HHN-BIR-01,2024-04-09,40
HHN-BIR-01,2024-04-10,23
HHN-BIR-01,2024-04-11,16
HHN-BIR-01,2024-04-12,41
HHN-BIR-01,2024-04-13,22
HHN-BIR-01,2024-04-14,16
HHN-BIR-01,2024-04-15,37
HHN-BIR-01,2024-04-16,20
HHN-BIR-01,2024-04-17,29
HHN-BIR-01,2024-04-18,33
HHN-BIR-01,2024-04-19,32
