hospital_id,date,completed_surgeries,expected_los
HHN-BIR-01,2024-01-02,3,1.9666666666666668
HHN-BIR-01,2024-01-03,1,1.4
HHN-BIR-01,2024-01-04,8,2.975
HHN-BIR-01,2024-01-05,13,2.338461538461538
HHN-BIR-01,2024-01-08,12,2.566666666666667
HHN-BIR-01,2024-01-09,6,3.9333333333333336
HHN-BIR-01,2024-01-10,11,2.4454545454545453
HHN-BIR-01,2024-01-11,4,2.675
HHN-BIR-01,2024-01-12,6,2.6333333333333333
HHN-BIR-01,2024-01-15,14,3.1999999999999997
HHN-BIR-01,2024-01-16,8,2.7375
HHN-BIR-01,2024-01-17,10,2.95
HHN-BIR-01,2024-01-18,5,2.4
HHN-BIR-01,2024-01-19,11,2.854545454545455
HHN-BIR-01,2024-01-22,11,3.4545454545454546
HHN-BIR-01,2024-01-23,9,2.7333333333333334
HHN-BIR-01,2024-01-24,7,3.0142857142857147
HHN-BIR-01,2024-01-25,9,2.888888888888889
HHN-BIR-01,2024-01-26,11,2.6818181818181817
HHN-BIR-01,2024-01-29,8,2.2375000000000003
HHN-BIR-01,2024-01-30,10,3.0700000000000003
HHN-BIR-01,2024-01-31,7,3.3000000000000003
HHN-BIR-01,2024-02-01,6,2.9166666666666665
HHN-BIR-01,2024-02-02,6,3.7833333333333337
HHN-BIR-01,2024-02-05,9,3.344444444444444
HHN-BIR-01,2024-02-06,12,2.6416666666666666
HHN-BIR-01,2024-02-07,12,3.841666666666667
HHN-BIR-01,2024-02-08,7,1.9714285714285713
HHN-BIR-01,2024-02-09,3,3.1
HHN-BIR-01,2024-02-12,17,3.264705882352941
HHN-BIR-01,2024-02-13,8,1.9625000000000001
HHN-BIR-01,2024-02-14,6,2.0500000000000003
HHN-BIR-01,2024-02-15,2,0.2
HHN-BIR-01,2024-02-16,5,3.0
HHN-BIR-01,2024-02-19,6,2.283333333333333
HHN-BIR-01,2024-02-20,3,3.5
HHN-BIR-01,2024-02-21,8,2.7
HHN-BIR-01,2024-02-22,7,2.4857142857142853
HHN-BIR-01,2024-02-23,4,1.75
HHN-BIR-01,2024-02-26,10,2.6399999999999997
HHN-BIR-01,2024-02-27,6,2.6999999999999997
HHN-BIR-01,2024-02-28,5,3.04
HHN-BIR-01,2024-02-29,8,3.925
HHN-BIR-01,2024-03-01,9,3.1333333333333333
HHN-BIR-01,2024-03-04,4,2.975
HHN-BIR-01,2024-03-05,10,2.54
HHN-BIR-01,2024-03-06,7,3.5285714285714285
HHN-BIR-01,2024-03-07,14,2.242857142857143
HHN-BIR-01,2024-03-08,3,5.166666666666667
HHN-BIR-01,2024-03-11,14,2.9714285714285715
HHN-BIR-01,2024-03-12,4,3.375
HHN-BIR-01,2024-03-13,6,3.116666666666667
HHN-BIR-01,2024-03-14,13,2.803846153846154
HHN-BIR-01,2024-03-15,3,2.966666666666667
HHN-BIR-01,2024-03-18,5,3.9799999999999995
HHN-BIR-01,2024-03-19,4,3.8
HHN-BIR-01,2024-03-20,10,3.4299999999999997
HHN-BIR-01,2024-03-21,8,2.7125
HHN-BIR-01,2024-03-22,7,2.2142857142857144
HHN-BIR-01,2024-03-25,6,3.266666666666667
HHN-BIR-01,2024-03-26,12,2.75
HHN-BIR-01,2024-03-27,11,3.036363636363636
HHN-BIR-01,2024-03-28,7,1.8571428571428572
HHN-BIR-01,2024-04-02,7,2.0714285714285716
HHN-BIR-01,2024-04-03,15,3.2933333333333334
HHN-BIR-01,2024-04-04,11,2.6454545454545455
HHN-BIR-01,2024-04-05,8,4.1125
HHN-BIR-01,2024-04-08,11,2.2818181818181817
HHN-BIR-01,2024-04-09,13,3.5
HHN-BIR-01,2024-04-10,8,1.6625
HHN-BIR-01,2024-04-11,3,3.966666666666667
HHN-BIR-01,2024-04-12,14,2.4214285714285713
HHN-BIR-01,2024-04-15,8,2.6
HHN-BIR-01,2024-04-16,10,2.6399999999999997
HHN-BIR-01,2024-04-17,11,2.7818181818181817
HHN-BIR-01,2024-04-18,8,3.1125
HHN-BIR-01,2024-04-19,6,3.65
HHN-BIR-01,2024-04-22,12,3.4916666666666667
HHN-BIR-01,2024-04-23,5,4.54
HHN-BIR-01,2024-04-24,20,3.225
HHN-BIR-01,2024-04-25,11,3.436363636363636
HHN-BIR-01,2024-04-26,9,2.522222222222222
HHN-BIR-01,2024-04-29,5,3.9
HHN-BIR-01,2024-04-30,18,2.716666666666667
HHN-BIR-01,2024-05-01,14,2.757142857142857
HHN-BIR-01,2024-05-02,8,3.9250000000000003
HHN-BIR-01,2024-05-03,12,3.6666666666666665
HHN-BIR-01,2024-05-07,7,2.6142857142857143
HHN-BIR-01,2024-05-08,8,2.25
HHN-BIR-01,2024-05-09,11,2.6454545454545455
HHN-BIR-01,2024-05-10,5,2.54
HHN-BIR-01,2024-05-13,12,2.983333333333333
HHN-BIR-01,2024-05-14,6,2.8833333333333333
HHN-BIR-01,2024-05-15,11,3.0
HHN-BIR-01,2024-05-16,8,3.075
HHN-BIR-01,2024-05-17,7,2.9857142857142853
HHN-BIR-01,2024-05-20,9,2.377777777777778
HHN-BIR-01,2024-05-21,8,3.75
HHN-BIR-01,2024-05-22,7,4.357142857142857
HHN-BIR-01,2024-05-23,11,3.3545454545454545
HHN-BIR-01,2024-05-24,12,3.4499999999999997
HHN-BIR-01,2024-05-28,13,2.838461538461538
HHN-BIR-01,2024-05-29,12,3.1999999999999997
HHN-BIR-01,2024-05-30,11,2.209090909090909
HHN-BIR-01,2024-05-31,15,3.14
HHN-BIR-01,2024-06-03,13,2.4846153846153842
HHN-BIR-01,2024-06-04,14,2.8214285714285716
HHN-BIR-01,2024-06-05,13,2.853846153846154
HHN-BIR-01,2024-06-06,3,2.8333333333333335
HHN-BIR-01,2024-06-07,12,2.4916666666666667
HHN-BIR-01,2024-06-10,8,2.1
HHN-BIR-01,2024-06-11,16,3.05
HHN-BIR-01,2024-06-12,13,2.976923076923077
HHN-BIR-01,2024-06-13,17,2.3000000000000003
HHN-BIR-01,2024-06-14,5,2.2600000000000002
HHN-BIR-01,2024-06-17,4,2.7
HHN-BIR-01,2024-06-18,9,2.2555555555555555
HHN-BIR-01,2024-06-19,15,2.3133333333333335
HHN-BIR-01,2024-06-20,7,2.957142857142857
HHN-BIR-01,2024-06-21,6,2.716666666666667
HHN-BIR-01,2024-06-24,5,3.6
HHN-BIR-01,2024-06-25,16,2.79375
HHN-BIR-01,2024-06-26,11,3.6818181818181817
HHN-BIR-01,2024-06-27,8,3.725
