hospital_id,date,total_discharges
HHN-BIR-01,2024-01-02,5
HHN-BIR-01,2024-01-03,17
HHN-BIR-01,2024-01-04,14
HHN-BIR-01,2024-01-05,29
HHN-BIR-01,2024-01-06,15
HHN-BIR-01,2024-01-07,29
HHN-BIR-01,2024-01-08,26
HHN-BIR-01,2024-01-09,29
HHN-BIR-01,2024-01-10,40
HHN-BIR-01,2024-01-11,30
HHN-BIR-01,2024-01-12,46
HHN-BIR-01,2024-01-13,32
HHN-BIR-01,2024-01-14,27
HHN-BIR-01,2024-01-15,25
HHN-BIR-01,2024-01-16,32
HHN-BIR-01,2024-01-17,44
HHN-BIR-01,2024-01-18,31
HHN-BIR-01,2024-01-19,40
HHN-BIR-01,2024-01-20,43
HHN-BIR-01,2024-01-21,30
HHN-BIR-01,2024-01-22,36
HHN-BIR-01,2024-01-23,35
HHN-BIR-01,2024-01-24,34
HHN-BIR-01,2024-01-25,43
HHN-BIR-01,2024-01-26,51
HHN-BIR-01,2024-01-27,31
HHN-BIR-01,2024-01-28,43
HHN-BIR-01,2024-01-29,24
HHN-BIR-01,2024-01-30,31
HHN-BIR-01,2024-01-31,40
HHN-BIR-01,2024-02-01,45
HHN-BIR-01,2024-02-02,29
HHN-BIR-01,2024-02-03,30
HHN-BIR-01,2024-02-04,38
HHN-BIR-01,2024-02-05,43
HHN-BIR-01,2024-02-06,28
HHN-BIR-01,2024-02-07,40
HHN-BIR-01,2024-02-08,44
HHN-BIR-01,2024-02-09,34
HHN-BIR-01,2024-02-10,28
HHN-BIR-01,2024-02-11,39
HHN-BIR-01,2024-02-12,47
HHN-BIR-01,2024-02-13,38
HHN-BIR-01,2024-02-14,43
HHN-BIR-01,2024-02-15,43
HHN-BIR-01,2024-02-16,47
HHN-BIR-01,2024-02-17,35
HHN-BIR-01,2024-02-18,29
HHN-BIR-01,2024-02-19,32
HHN-BIR-01,2024-02-20,44
HHN-BIR-01,2024-02-21,23
HHN-BIR-01,2024-02-22,37
HHN-BIR-01,2024-02-23,45
HHN-BIR-01,2024-02-24,42
HHN-BIR-01,2024-02-25,37
HHN-BIR-01,2024-02-26,31
HHN-BIR-01,2024-02-27,25
HHN-BIR-01,2024-02-28,24
HHN-BIR-01,2024-02-29,28
HHN-BIR-01,2024-03-01,50
HHN-BIR-01,2024-03-02,29
HHN-BIR-01,2024-03-03,29
HHN-BIR-01,2024-03-04,28
HHN-BIR-01,2024-03-05,27
HHN-BIR-01,2024-03-06,24
HHN-BIR-01,2024-03-07,41
HHN-BIR-01,2024-03-08,29
HHN-BIR-01,2024-03-09,35
HHN-BIR-01,2024-03-10,28
HHN-BIR-01,2024-03-11,30
HHN-BIR-01,2024-03-12,28
HHN-BIR-01,2024-03-13,39
HHN-BIR-01,2024-03-14,36
HHN-BIR-01,2024-03-15,26
HHN-BIR-01,2024-03-16,38
HHN-BIR-01,2024-03-17,35
HHN-BIR-01,2024-03-18,26
HHN-BIR-01,2024-03-19,29
HHN-BIR-01,2024-03-20,20
HHN-BIR-01,2024-03-21,31
HHN-BIR-01,2024-03-22,34
HHN-BIR-01,2024-03-23,30
HHN-BIR-01,2024-03-24,32
HHN-BIR-01,2024-03-25,32
HHN-BIR-01,2024-03-26,30
HHN-BIR-01,2024-03-27,28
HHN-BIR-01,2024-03-28,37
