Model,Unit,MAE,RMSE,MAPE
XGBoost,HHN-LON-02_Cardiology Ward,0.08520531124538853,0.1090767498348102,0.004777105376906331
XGBoost,HHN-BIR-01_Orthopaedics Ward A,0.12418274349636492,0.15680331143119638,0.01137318146371564
XGBoost,HHN-LON-02_Day Case Unit,0.15719473084641827,0.23055114534572566,76880108654865.39
XGBoost,HHN-EDI-01_Day Case Unit,0.15769579847239787,0.1921130467930348,81519092485325.45
XGBoost,HHN-BIR-01_Day Case Unit,0.16060920463254058,0.20861642337784386,53570626283110.984
XGBoost,HHN-BIR-01_Orthopaedics Ward B,0.17404162089029948,0.2837995152554574,0.01689506124665103
XGBoost,HHN-MAN-01_Day Case Unit,0.1833455959128009,0.2209674081257621,68046935189095.09
XGBoost,HHN-BIR-01_General Medicine Ward A,0.25904237959119997,0.3968683777656655,0.01687636406125888
XGBoost,HHN-LON-01_Day Case Unit,0.26136141477359665,0.34694860349922657,27586486582204.133
XGBoost,HHN-LON-02_Orthopaedics Ward A,0.2961009661356608,0.5384599766816586,0.02508756976811338
XGBoost,HHN-EDI-01_Orthopaedics Ward A,0.30268499586317277,0.36848672320004733,0.031260778276774134
XGBoost,HHN-LON-02_General Medicine Ward B,0.3046495861477322,0.4240138866888218,0.0172686171834705
XGBoost,HHN-LON-02_Orthopaedics Ward B,0.391334406534831,0.5123432285124223,0.03377435858938018
XGBoost,HHN-LON-02_General Medicine Ward A,0.4692395740085179,0.7095862434431699,0.027273079188704974
XGBoost,HHN-BIR-01_ICU,0.5385626898871526,0.7408693282694745,0.0755775989427292
XGBoost,HHN-EDI-01_Orthopaedics Ward B,0.6871575832366946,0.8303515083401187,0.08400648018268358
XGBoost,HHN-EDI-01_ICU,0.8445868704054093,1.041120386152558,0.12284992441773306
XGBoost,HHN-MAN-01_ICU,0.8951374689737958,1.4803026434241202,0.1951216419449396
XGBoost,HHN-EDI-01_Oncology Ward,1.0611286958058674,1.4447399194885768,0.11297781995997883
XGBoost,HHN-LON-02_ICU,1.0635293218824597,1.18370518435672,0.10728128579523487
XGBoost,HHN-MAN-01_General Medicine Ward B,1.1520919799804688,1.4609476334075004,0.06118349761860458
XGBoost,HHN-BIR-01_General Medicine Ward B,1.161449040306939,1.5147437199894669,0.08634890738097065
XGBoost,HHN-MAN-01_Oncology Ward,1.2099722968207451,1.5431848140652613,0.06418482577972792
XGBoost,HHN-EDI-01_General Medicine Ward A,1.3024995697869197,1.6187401170794975,0.09231837990042906
XGBoost,HHN-MAN-01_General Medicine Ward A,1.3570324156019424,2.45070071533376,0.09741118495414017
XGBoost,HHN-EDI-01_Cardiology Ward,1.5451365576850042,1.988353415918756,0.11001395282489966
XGBoost,HHN-MAN-01_Cardiology Ward,1.582028855217826,1.9983842157320588,0.07087644784198441
XGBoost,HHN-LON-01_ICU,1.8278020328945581,2.120531678350755,0.11617578060760855
XGBoost,HHN-EDI-01_General Medicine Ward B,1.9266064749823675,2.3087390948064117,0.1400845279356547
XGBoost,HHN-MAN-01_Orthopaedics Ward B,2.0611981497870553,2.5812198335914585,0.08604448629474674
XGBoost,HHN-BIR-01_Oncology Ward,2.115914620293511,2.566871639651987,0.1820507729405865
XGBoost,HHN-LON-01_General Medicine Ward A,2.2557210498385967,2.6643152021686056,0.0691821636508058
XGBoost,HHN-LON-02_Oncology Ward,2.5978034125434033,3.2765730221493214,0.11710309732869652
XGBoost,HHN-BIR-01_Cardiology Ward,2.6911293665568032,3.7628782619792074,0.12217063354490829
XGBoost,HHN-LON-01_Orthopaedics Ward A,2.7400734795464396,3.292917621297608,0.11780359754372524
XGBoost,HHN-LON-01_General Medicine Ward B,2.8064694086710613,3.5281121418648036,0.10308831411863376
XGBoost,HHN-MAN-01_Orthopaedics Ward A,2.9489368438720702,3.5436310005646354,0.13932180785545578
XGBoost,HHN-LON-01_Oncology Ward,2.980655924479167,3.5117873569997387,0.09627596563391037
XGBoost,HHN-LON-01_Orthopaedics Ward B,3.1191779666476775,3.827775093109693,0.14010506437883752
XGBoost,HHN-LON-01_Cardiology Ward,4.396346961127389,5.454433893802078,0.15911186044629655
SARIMAX Advanced,HHN-BIR-01_Day Case Unit,0.20597777939063633,0.23639641760601807,210379335544354.97
SARIMAX Advanced,HHN-EDI-01_Day Case Unit,0.21967230000491408,0.278431788779564,145448169134032.53
SARIMAX Advanced,HHN-LON-02_Day Case Unit,0.2942066850689434,0.35560865763513705,344203011889334.94
SARIMAX Advanced,HHN-MAN-01_Day Case Unit,0.3064441150451643,0.3608254714795339,205822273622405.47
SARIMAX Advanced,HHN-LON-01_Day Case Unit,0.33210268446838126,0.4479691863668107,50022214512649.65
SARIMAX Advanced,HHN-LON-02_General Medicine Ward B,0.48049913995737986,0.5875717980793229,0.027179463022882024
SARIMAX Advanced,HHN-LON-02_Orthopaedics Ward B,0.647388288301299,0.7460172549690869,0.05582255388263405
SARIMAX Advanced,HHN-BIR-01_General Medicine Ward A,0.8745494740695198,0.9339249433150737,0.055454689097745605
SARIMAX Advanced,HHN-LON-02_Orthopaedics Ward A,0.9898173786115556,1.1475429232594734,0.0835843377447347
SARIMAX Advanced,HHN-MAN-01_General Medicine Ward B,1.0174535935461047,1.5288049692927306,0.05633499547768916
SARIMAX Advanced,HHN-BIR-01_Orthopaedics Ward A,1.188832090254346,1.3417793061746612,0.10901463161252055
SARIMAX Advanced,HHN-BIR-01_Orthopaedics Ward B,1.3156320961983794,1.4061145814723501,0.12221365791289081
SARIMAX Advanced,HHN-LON-02_Cardiology Ward,1.3232927419597653,2.2573072351014027,0.07429211613441945
SARIMAX Advanced,HHN-BIR-01_General Medicine Ward B,1.4037976920428676,1.7364821485052981,0.10788028814490543
