Unit,MAE,RMSE,MAPE
HHN-BIR-01_Day Case Unit,0.20597777939063633,0.23639641760601807,210379335544354.97
HHN-EDI-01_Day Case Unit,0.21967230000491408,0.278431788779564,145448169134032.53
HHN-LON-02_Day Case Unit,0.2942066850689434,0.35560865763513705,344203011889334.94
HHN-MAN-01_Day Case Unit,0.3064441150451643,0.3608254714795339,205822273622405.47
HHN-LON-01_Day Case Unit,0.33210268446838126,0.4479691863668107,50022214512649.65
HHN-LON-02_General Medicine Ward B,0.48049913995737986,0.5875717980793229,0.027179463022882024
HHN-LON-02_Orthopaedics Ward B,0.647388288301299,0.7460172549690869,0.05582255388263405
HHN-BIR-01_General Medicine Ward A,0.8745494740695198,0.9339249433150737,0.055454689097745605
HHN-LON-02_Orthopaedics Ward A,0.9898173786115556,1.1475429232594734,0.0835843377447347
HHN-MAN-01_General Medicine Ward B,1.0174535935461047,1.5288049692927306,0.05633499547768916
HHN-BIR-01_Orthopaedics Ward A,1.188832090254346,1.3417793061746612,0.10901463161252055
HHN-BIR-01_Orthopaedics Ward B,1.3156320961983794,1.4061145814723501,0.12221365791289081
HHN-LON-02_Cardiology Ward,1.3232927419597653,2.2573072351014027,0.07429211613441945
HHN-BIR-01_General Medicine Ward B,1.4037976920428676,1.7364821485052981,0.10788028814490543
HHN-MAN-01_ICU,1.5140560881134786,2.013864189915663,0.29179410106115267
HHN-BIR-01_ICU,1.599206721836283,1.7677090339760284,0.19934179337347033
HHN-EDI-01_Orthopaedics Ward B,1.9100873139899706,2.0704968828853136,0.20601958889891714
HHN-EDI-01_Orthopaedics Ward A,1.959189021125525,2.1371740317024575,0.19923136454673265
HHN-LON-02_General Medicine Ward A,2.1094913668453823,2.1913105853732056,0.11887767558333251
HHN-MAN-01_General Medicine Ward A,2.1143272226163328,3.456767963651309,0.148153554390719
HHN-EDI-01_Oncology Ward,2.1629559459708982,2.3783884435614087,0.1966570042895602
HHN-EDI-01_General Medicine Ward A,2.2348136932310334,2.531069889141527,0.1455300083671504
HHN-EDI-01_ICU,2.2979396668329963,2.4437606615470324,0.3082953876521438
HHN-EDI-01_General Medicine Ward B,2.552018198225155,3.0214688666826697,0.17175399802418623
HHN-BIR-01_Oncology Ward,2.5799669889313477,2.9253208958074213,0.21406607711498976
HHN-MAN-01_Oncology Ward,3.033059819150318,3.252162605489437,0.15987811404514027
HHN-LON-02_Oncology Ward,3.0507393558616775,4.112393590648974,0.14531692133858937
HHN-MAN-01_Orthopaedics Ward A,3.0966811010895885,4.085708817614275,0.14224189510447843
HHN-LON-01_General Medicine Ward A,3.3237952045783716,3.8101359567334403,0.10068308252586698
HHN-LON-02_ICU,3.4027851850531436,3.7778700243014915,0.3161316830490734
HHN-LON-01_Orthopaedics Ward A,3.5961091040248196,4.251502003234038,0.14790289118166627
HHN-LON-01_General Medicine Ward B,3.865293508997721,4.4693026597647005,0.1298932215303885
HHN-BIR-01_Cardiology Ward,3.9485930558004054,5.828994964023848,0.19793388385732685
HHN-MAN-01_Cardiology Ward,4.035580009992908,4.717158933881157,0.17269095622977887
HHN-LON-01_Orthopaedics Ward B,4.302778010889786,4.911564642164645,0.1738527536363383
HHN-LON-01_Cardiology Ward,4.32014379277103,5.257046491385703,0.1522686877016636
HHN-EDI-01_Cardiology Ward,4.3706651963528165,4.775510103613273,0.289936449771608
HHN-MAN-01_Orthopaedics Ward B,4.4481375083931605,5.4229097501490795,0.17969923478319308
HHN-LON-01_ICU,4.7074806345710885,5.030195160070587,0.27304385570889544
HHN-LON-01_Oncology Ward,4.849197961845773,5.304411840687887,0.16150741314472536
