hospital_name,hospital_id,unit,model,MAE,RMSE,MAPE
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,SARIMA,2.1493137491683787,2.8662347769542524,13.236358654555275
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Day Case Unit,XGBoost,0.1606092057666667,0.20861642478270626,71.54474455836574
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_General Medicine Ward A,Holt-Winters,0.21611587168529134,0.25054259916749877,1.3659934725844922
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_General Medicine Ward B,XGBoost,1.1614490555555552,1.5147437162165764,8.634890809322759
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,Holt-Winters,0.284337678796721,0.48758897472188445,3.549821510697641
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,Holt-Winters,1.734270905164691,1.8454981771606307,16.813869749767193
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Orthopaedics Ward A,Holt-Winters,0.08595672041525226,0.12623403998613922,0.7898610716092618
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Orthopaedics Ward B,XGBoost,0.17404166666666676,0.2837995166065494,1.689506544429837
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,Holt-Winters,1.6286697129420733,1.8058065895646003,11.849798766927806
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Day Case Unit,XGBoost,0.15769579885555557,0.1921130467203423,76.69143143264462
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_General Medicine Ward A,Holt-Winters,0.1623273882609832,0.18360728378553115,0.9696128406753465
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_General Medicine Ward B,Holt-Winters,1.0053010942439513,1.5209640224511862,6.8637869392632185
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,Holt-Winters,0.6580265705154841,0.6651101377257889,8.685772614438934
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,Holt-Winters,0.7713267358914992,0.990621787095243,6.963811861024693
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Orthopaedics Ward A,Holt-Winters,0.25063061555854965,0.3530761238418418,2.5439738034231345
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Orthopaedics Ward B,Holt-Winters,0.31431939067786957,0.3687904403960074,3.1923055440937884
Horizon London Central,HHN-LON-01,HHN-LON-01_Cardiology Ward,SARIMAX,4.32014379277103,5.257046491385704,15.22686877016636
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,SARIMA,0.2537097543911396,0.32089070606298936,50.476417263074694
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward A,XGBoost,2.2557209222222228,2.664315085665237,6.918215946902986
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,SARIMA,2.4599419834987706,2.753852063783396,8.117079775401862
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,Holt-Winters,0.9760961183722934,1.011082481649308,5.474201178261762
Horizon London Central,HHN-LON-01,HHN-LON-01_Oncology Ward,XGBoost,2.980656133333334,3.5117875141136183,9.627597177172266
Horizon London Central,HHN-LON-01,HHN-LON-01_Orthopaedics Ward A,XGBoost,2.7400735888888885,3.2929177486960635,11.780360206981308
Horizon London Central,HHN-LON-01,HHN-LON-01_Orthopaedics Ward B,Holt-Winters,2.734785588950551,3.5729281988749593,12.014296552492217
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Cardiology Ward,XGBoost,0.0852053444444446,0.1090767732851163,0.4777107193841418
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Day Case Unit,XGBoost,0.1571947299888889,0.2305511434790474,37.0323465584687
Horizon London Riverside,HHN-LON-02,HHN-LON-02_General Medicine Ward A,Holt-Winters,0.1495560465457686,0.20066438055254615,0.8425994816783701
Horizon London Riverside,HHN-LON-02,HHN-LON-02_General Medicine Ward B,XGBoost,0.304649411111111,0.4240136998854104,1.7268607285531206
Horizon London Riverside,HHN-LON-02,HHN-LON-02_ICU,XGBoost,1.0635292355555552,1.1837050966139047,10.7281276970957
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Oncology Ward,XGBoost,2.597803377777778,3.2765730237276753,11.710309646088362
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Orthopaedics Ward A,Holt-Winters,0.20568531403416732,0.26052703059923593,1.7685175881066872
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Orthopaedics Ward B,XGBoost,0.391334516666667,0.5123433156035856,3.377436798411508
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,Holt-Winters,0.6848102910389758,0.9649752882323843,3.0731656286015174
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Day Case Unit,XGBoost,0.1833455967777778,0.2209674081216853,78.31953441740161
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_General Medicine Ward A,Holt-Winters,1.6444455856699014,1.9253312433196161,8.166402235477618
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_General Medicine Ward B,Holt-Winters,0.47744039257025356,0.8016116238168461,2.4964818000364453
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,Holt-Winters,0.20427472940960506,0.35977248189408445,2.1945438346477197
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Oncology Ward,XGBoost,1.20997221111111,1.5431847393848748,6.418482129091882
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward A,Holt-Winters,2.165183685761951,2.830318886539873,11.936788442100012
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,SARIMA,1.2079317387588742,1.5658968799418185,6.1891430868762685
