hospital_name,hospital_id,unit,date,actual,predicted,model,planned_staff,actual_staff,safe_ratio_met,beds_per_planned_staff,beds_per_actual_staff,feasibility_flag,historical_safe_ratio,overall_status
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-25,21.20833333333333,22.28165367795529,SARIMA,20,20,True,1.1140826838977644,1.1140826838977644,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-26,23.375,21.692058144606413,SARIMA,20,20,True,1.0846029072303207,1.0846029072303207,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-27,19.0,19.730130548308445,SARIMA,20,20,True,0.9865065274154222,0.9865065274154222,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-28,18.875,17.138077758943286,SARIMA,20,20,True,0.8569038879471643,0.8569038879471643,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-29,16.916666666666668,16.98828894967998,SARIMA,20,20,True,0.849414447483999,0.849414447483999,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-30,14.958333333333334,18.73030633063691,SARIMA,20,20,True,0.9365153165318455,0.9365153165318455,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-31,14.333333333333334,20.31161930781439,SARIMA,20,20,True,1.0155809653907195,1.0155809653907195,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-25,0.625,0.6728900607083949,SARIMA,1,1,True,0.6728900607083949,0.6728900607083949,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-26,0.0,0.6200650980772515,SARIMA,1,1,True,0.6200650980772515,0.6200650980772515,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-27,0.2083333333333333,0.3160162066828611,SARIMA,1,1,True,0.3160162066828611,0.3160162066828611,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-28,0.5,0.2633675321599077,SARIMA,1,1,True,0.2633675321599077,0.2633675321599077,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-29,0.4583333333333333,0.7477917422556347,SARIMA,1,1,True,0.7477917422556347,0.7477917422556347,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-30,0.875,0.8252216408719585,SARIMA,1,1,True,0.8252216408719585,0.8252216408719585,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-31,0.3333333333333333,0.7577943460457006,SARIMA,1,1,True,0.7577943460457006,0.7577943460457006,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-25,31.041666666666668,32.90595214107309,SARIMA,14,14,True,2.350425152933792,2.350425152933792,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-26,33.25,32.33387630372016,SARIMA,14,14,True,2.3095625931228687,2.3095625931228687,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-27,29.041666666666668,33.072700100690746,SARIMA,14,14,True,2.3623357214779106,2.3623357214779106,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-28,30.375,33.626777813683304,SARIMA,14,14,True,2.401912700977379,2.401912700977379,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-29,29.0,33.13786888246103,SARIMA,14,14,True,2.366990634461502,2.366990634461502,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-30,31.70833333333333,33.58509890553767,SARIMA,14,14,True,2.3989356361098335,2.3989356361098335,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-31,34.75,33.608260988567615,SARIMA,14,14,True,2.4005900706119725,2.4005900706119725,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-25,21.875,21.796868571498155,SARIMA,13,13,True,1.6766821978075503,1.6766821978075503,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-26,21.166666666666668,21.935801275031903,SARIMA,13,13,True,1.6873693288486078,1.6873693288486078,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-27,18.541666666666668,20.22267213811126,SARIMA,13,13,True,1.555590164470097,1.555590164470097,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-28,16.083333333333332,18.11842697493239,SARIMA,13,13,True,1.3937251519178762,1.3937251519178762,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-29,17.833333333333332,17.92642114040141,SARIMA,13,13,True,1.37895547233857,1.37895547233857,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-30,22.625,19.63595991056171,SARIMA,13,13,True,1.510458454658593,1.510458454658593,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-31,20.875,21.68502912489502,SARIMA,13,13,True,1.668079163453463,1.668079163453463,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-25,9.0,8.829255070732128,Holt-Winters,12,12,True,0.735771255894344,0.735771255894344,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-26,9.0,8.647889612407408,Holt-Winters,12,12,True,0.7206574677006173,0.7206574677006173,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-27,8.5,8.643811498725062,Holt-Winters,12,12,True,0.7203176248937552,0.7203176248937552,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-28,7.541666666666667,8.75940848869814,Holt-Winters,12,12,True,0.7299507073915117,0.7299507073915117,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-29,8.791666666666666,8.875401021642483,Holt-Winters,12,12,True,0.7396167518035403,0.7396167518035403,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-30,8.958333333333334,8.936492473589661,Holt-Winters,12,12,True,0.7447077061324717,0.7447077061324717,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-31,8.916666666666666,8.91628676742611,Holt-Winters,12,12,True,0.7430238972855091,0.7430238972855091,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-25,6.333333333333333,7.100481531587418,Holt-Winters,11,11,True,0.6454983210534017,0.6454983210534017,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-26,7.791666666666667,7.107012427672848,Holt-Winters,11,11,True,0.6460920388793499,0.6460920388793499,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-27,7.916666666666667,7.254880749738465,Holt-Winters,11,11,True,0.6595346136125877,0.6595346136125877,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-28,7.791666666666667,7.3251317177529,Holt-Winters,11,11,True,0.6659210652502636,0.6659210652502636,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-29,7.958333333333333,7.370881939942925,Holt-Winters,11,11,True,0.6700801763584477,0.6700801763584477,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-30,7.916666666666667,7.241046553303171,Holt-Winters,11,11,True,0.6582769593911973,0.6582769593911973,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-31,7.916666666666667,7.153675482902055,Holt-Winters,11,11,True,0.6503341348092777,0.6503341348092777,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-25,17.75,16.42078843162028,Holt-Winters,24,24,True,0.6841995179841783,0.6841995179841783,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-26,17.958333333333332,16.604238218523605,Holt-Winters,24,24,True,0.6918432591051502,0.6918432591051502,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-27,17.708333333333332,16.62421068910054,Holt-Winters,24,24,True,0.6926754453791891,0.6926754453791891,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-28,17.833333333333332,16.999262924462354,Holt-Winters,24,24,True,0.7083026218525981,0.7083026218525981,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-29,17.958333333333332,17.172120405853615,Holt-Winters,24,24,True,0.7155050169105673,0.7155050169105673,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-30,17.916666666666668,17.087987576686917,Holt-Winters,24,24,True,0.7119994823619549,0.7119994823619549,Safe,Historically Safe,Operationally Feasible
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,2025-12-31,17.666666666666668,17.0503855918133,Holt-Winters,24,24,True,0.7104327329922208,0.7104327329922208,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-25,9.875,9.86724302739844,Holt-Winters,13,13,True,0.7590186944152646,0.7590186944152646,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-26,9.916666666666666,9.810057673256932,Holt-Winters,13,13,True,0.754619821019764,0.754619821019764,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-27,9.833333333333334,9.745120851458902,Holt-Winters,13,13,True,0.749624680881454,0.749624680881454,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-28,9.791666666666666,9.785162396457244,Holt-Winters,13,13,True,0.7527047997274803,0.7527047997274803,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-29,9.791666666666666,9.932228089590271,Holt-Winters,13,13,True,0.7640175453530978,0.7640175453530978,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-30,9.791666666666666,9.955278964848478,Holt-Winters,13,13,True,0.7657906896037291,0.7657906896037291,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,2025-12-31,9.041666666666666,9.958333333333334,Holt-Winters,13,13,True,0.7660256410256411,0.7660256410256411,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-25,12.083333333333334,14.742630708464173,Holt-Winters,8,8,True,1.8428288385580216,1.8428288385580216,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-26,12.458333333333334,14.468939515455476,Holt-Winters,8,8,True,1.8086174394319345,1.8086174394319345,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-27,12.708333333333334,13.86557867665249,Holt-Winters,8,8,True,1.7331973345815612,1.7331973345815612,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-28,15.125,13.303116201124016,Holt-Winters,8,8,True,1.662889525140502,1.662889525140502,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-29,15.916666666666666,13.720237604585025,Holt-Winters,8,8,True,1.715029700573128,1.715029700573128,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-30,15.833333333333334,14.341570365599264,Holt-Winters,8,8,True,1.792696295699908,1.792696295699908,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,2025-12-31,14.791666666666666,14.728203405335986,Holt-Winters,8,8,True,1.8410254256669982,1.8410254256669982,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-25,23.875,23.875,Holt-Winters,11,11,True,2.1704545454545454,2.1704545454545454,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-26,23.625,23.875,Holt-Winters,11,11,True,2.1704545454545454,2.1704545454545454,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-27,23.58333333333333,23.42686703459669,Holt-Winters,11,11,True,2.1297151849633353,2.1297151849633353,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-28,23.58333333333333,22.645885961352867,Holt-Winters,11,11,True,2.0587169055775334,2.0587169055775334,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-29,22.0,22.95224784585499,Holt-Winters,11,11,True,2.0865679859868176,2.0865679859868176,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-30,21.45833333333333,23.580843854034068,Holt-Winters,11,11,True,2.1437130776394606,2.1437130776394606,Safe,Historically Safe,Operationally Feasible
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,2025-12-31,23.5,23.875,Holt-Winters,11,11,True,2.1704545454545454,2.1704545454545454,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-25,11.083333333333334,12.90766988465294,Holt-Winters,9,9,True,1.4341855427392156,1.4341855427392156,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-26,11.458333333333334,12.891741757640183,Holt-Winters,9,9,True,1.4324157508489093,1.4324157508489093,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-27,11.083333333333334,12.26918291921301,Holt-Winters,9,9,True,1.3632425465792233,1.3632425465792233,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-28,10.083333333333334,11.455447353157233,Holt-Winters,9,9,True,1.272827483684137,1.272827483684137,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-29,10.458333333333334,11.508147122155904,Holt-Winters,9,9,True,1.2786830135728782,1.2786830135728782,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-30,9.791666666666666,12.148117467079746,Holt-Winters,9,9,True,1.3497908296755274,1.3497908296755274,Safe,Historically Safe,Operationally Feasible
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,2025-12-31,9.625,12.542923165587156,Holt-Winters,9,9,True,1.3936581295096842,1.3936581295096842,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-25,12.666666666666666,12.219350204932573,Holt-Winters,6,6,True,2.036558367488762,2.036558367488762,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-26,11.541666666666666,12.37415556809853,Holt-Winters,6,6,True,2.062359261349755,2.062359261349755,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-27,9.875,12.084925909803427,Holt-Winters,6,6,True,2.0141543183005712,2.0141543183005712,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-28,11.125,11.542435043645366,Holt-Winters,6,6,True,1.9237391739408942,1.9237391739408942,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-29,11.625,11.469718234138394,Holt-Winters,6,6,True,1.9116197056897324,1.9116197056897324,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-30,12.583333333333334,11.930479311293793,Holt-Winters,6,6,True,1.9884132185489654,1.9884132185489654,Safe,Historically Safe,Operationally Feasible
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,2025-12-31,12.791666666666666,12.107681619942069,Holt-Winters,6,6,True,2.0179469366570113,2.0179469366570113,Safe,Historically Safe,Operationally Feasible
